protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.662572,4164,4164,0,1027.608576,0.388363,7286,196750,106736,2284,1563,0,0,0,0,0,0,0.0,0.0
meshcore-like,17,1200.0,107,53,54,0.641509,1.0,0.493568,3639,2737,902,898.046976,0.335092,7302,171009,73754,1217,0,884,18,20,33,0,0,0.0,0.24787
calm-mesh,17,1200.0,107,53,54,0.792453,0.990552,0.894598,3001,2350,651,740.598784,0.278107,7379,139670,64735,1103,639,637,14,39,14,0,5,0.916106,0.216928
meshtastic-like,18,1200.0,122,67,55,0.985075,0.97885,0.568981,4891,4891,0,1207.020544,0.446383,8646,231013,123743,2780,1869,0,0,0,0,0,0,0.0,0.0
meshcore-like,18,1200.0,122,67,55,0.895522,0.962894,0.413911,3864,2713,1151,953.573376,0.359161,9169,180167,79094,1429,0,1126,25,43,24,0,0,0.0,0.297878
calm-mesh,18,1200.0,122,67,55,0.716418,0.980334,0.853339,3058,2409,649,754.665472,0.280545,7437,142405,66479,1154,665,636,13,43,24,0,5,0.944062,0.21223
meshtastic-like,19,1200.0,116,67,49,0.985075,0.970012,0.567822,4666,4666,0,1151.494144,0.480791,8165,220469,118965,2621,1769,0,0,0,0,0,0,0.0,0.0
meshcore-like,19,1200.0,116,67,49,0.910448,0.999584,0.424792,3664,2514,1150,904.216576,0.367418,8961,170575,75266,1372,0,1127,23,42,25,0,0,0.0,0.313865
calm-mesh,19,1200.0,116,67,49,0.835821,0.995002,0.865299,2970,2173,797,732.94848,0.299774,7546,137984,63367,1090,589,781,16,46,21,0,8,0.951485,0.26835
meshtastic-like,20,1200.0,117,50,67,0.9,0.996954,0.389735,4617,4617,0,1139.401728,0.3434,8447,217786,119401,2923,1791,0,0,0,0,0,0,0.0,0.0
meshcore-like,20,1200.0,117,50,67,0.34,0.995126,0.537118,4020,3345,675,992.07168,0.302092,6690,190290,84396,1377,0,660,15,9,41,0,0,0.0,0.16791
calm-mesh,20,1200.0,117,50,67,0.74,1.0,1.170065,3720,3000,720,918.03648,0.276517,8076,174204,81655,1586,850,706,14,29,21,33,8,0.956697,0.193548
