protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_discovery_success_rate,evaluation_variant,scenario
calm-mesh,14,1200.0,114,46,68,0.869565,0.869565,0.981393,1.111434,0.86465,1.111434,2.493568,2.740352,40,40,3270,3709,2923,786,40,915.321856,131.508636,0.109591,362.467455,1144.517945,1506.9854,0.455283,0.276532,0.543809,10300,171441,181741,0.056674,81288,0.447274,1610,872,731,15,15,14,31,15,0,7,0.953991,0.211917,0,0,0.0,-1,0,0,0,0.9333333333333333,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,15,1200.0,135,68,67,0.235294,0.411765,0.946695,0.493568,0.458313,0.493568,0.740352,0.493568,28,16,3108,4074,3199,875,28,1005.398016,127.46849,0.106224,398.137614,1242.651359,1640.788973,0.525221,0.32183,0.557683,8674,190952,199626,0.043451,88475,0.443204,1792,0,828,19,18,13,17,51,0,0,0.0,0.214777,0,0,0.0,-1,0,0,0,0.7222222222222222,meshcore-reference,main_mixed_recovery_budget
calm-mesh,15,1200.0,135,68,67,0.764706,0.794118,0.91989,1.136933,1.045447,1.136933,2.493568,2.740352,54,52,3020,3799,2860,939,59,937.532416,142.209921,0.118508,371.262837,1187.020895,1558.283731,0.507254,0.305186,0.509129,11498,174653,186151,0.061767,85686,0.460304,1527,813,865,15,19,14,39,29,136,12,0.937663,0.24717,0,0,0.0,-1,0,0,0,0.7368421052631579,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,15,1200.0,135,68,67,0.720588,0.720588,0.976546,1.090345,0.843561,1.090345,2.493568,2.740352,49,49,3206,3837,2893,944,49,946.910208,144.36189,0.120302,374.976442,1199.645118,1574.62156,0.483755,0.290909,0.635028,11359,176654,188013,0.060416,86998,0.462723,1877,848,880,15,19,14,39,29,0,12,0.937663,0.246026,0,0,0.0,-1,0,0,0,0.7368421052631579,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,16,1200.0,121,53,68,0.415094,0.773585,0.963385,0.516003,0.457453,0.516003,0.740352,0.493568,41,22,3210,4231,3287,944,42,1044.143104,143.361195,0.119468,413.480669,1304.279377,1717.760046,0.531485,0.323064,0.68912,10324,196995,207319,0.049798,93687,0.451898,2067,0,883,19,19,18,27,26,0,0,0.0,0.223115,0,0,0.0,-1,0,0,0,0.9473684210526315,meshcore-reference,main_mixed_recovery_budget
calm-mesh,16,1200.0,121,53,68,0.792453,0.849057,0.962785,1.082011,0.845926,1.082011,2.493568,2.740352,45,42,3208,3532,2837,695,45,871.641088,134.645767,0.112205,345.169871,1100.479957,1445.649828,0.444815,0.268197,0.60006,10667,162401,173068,0.061635,79385,0.458693,1801,961,637,13,13,13,40,13,0,5,0.952049,0.196772,0,0,0.0,-1,0,0,0,1.0,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,16,1200.0,121,53,68,0.792453,0.849057,0.962785,1.082011,0.845926,1.082011,2.493568,2.740352,45,42,3208,3532,2837,695,45,871.641088,134.645767,0.112205,345.169871,1100.479957,1445.649828,0.444815,0.268197,0.60006,10667,162401,173068,0.061635,79385,0.458693,1801,961,637,13,13,13,40,13,0,5,0.952049,0.196772,0,0,0.0,-1,0,0,0,1.0,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,17,1200.0,107,53,54,0.320755,0.660377,0.981481,0.493568,0.486517,0.493568,0.740352,0.493568,35,17,2597,3626,2688,938,35,894.838784,103.064239,0.085887,354.356158,1084.114602,1438.470761,0.550295,0.342325,0.273579,8203,169471,177674,0.046169,72628,0.408771,1286,0,884,19,20,17,20,33,0,0,0.0,0.258687,0,0,0.0,-1,0,0,0,0.85,meshcore-reference,main_mixed_recovery_budget
calm-mesh,17,1200.0,107,53,54,0.735849,0.754717,0.992063,1.127276,0.979471,1.127276,2.493568,2.740352,40,39,2625,3113,2371,742,43,768.238592,111.6573,0.093048,304.222482,962.813013,1267.035496,0.475614,0.288378,0.364504,9224,143313,152537,0.060471,67828,0.444666,1416,734,686,13,14,12,33,20,35,7,0.951481,0.238355,0,0,0.0,-1,0,0,0,0.8571428571428571,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,17,1200.0,107,53,54,0.735849,0.735849,0.981481,1.127276,0.880492,1.127276,2.493568,2.740352,39,39,2597,3060,2322,738,39,755.15904,104.609763,0.087175,299.04298,939.183487,1238.226467,0.469737,0.286479,0.294863,9005,140935,149940,0.060057,64993,0.43346,1294,634,686,13,14,12,33,20,0,7,0.951481,0.241176,0,0,0.0,-1,0,0,0,0.8571428571428571,calm-no-route-miss-fallback,main_mixed_recovery_budget
