protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
smart-calm-no-fallback,5,1200.0,105,54,51,0.685185,0.703704,1.0,1.17487,0.936473,1.17487,2.493568,2.740352,38,37,2499,3253,2462,791,40,802.788352,107.047364,0.089206,317.904187,994.511976,1312.416164,0.517514,0.316557,0.278511,8824,150573,159397,0.055359,68926,0.432417,1096,505,737,14,29,25,123,9,0.952119,0.24316,10,94,53.983292,1,6,48,0
smart-calm-no-confidence,5,1200.0,105,54,51,0.833333,0.925926,0.995598,3.481456,2.964475,3.481456,15.246784,15.493568,50,45,2488,3487,2490,997,57,860.535808,134.985093,0.112488,340.77218,1095.220563,1435.992743,0.566914,0.33973,0.43091,10786,160077,170863,0.063127,79532,0.465472,1683,787,926,14,32,22,222,14,0.95744,0.285919,5,94,85.05233,0,36,18,0
meshtastic-like,6,1200.0,107,62,45,0.903226,0.951613,0.953288,0.625287,0.405312,0.625287,1.818014,1.876288,59,56,2102,4094,4029,65,65,1010.333696,148.856005,0.124047,400.092144,1334.527184,1734.619327,0.803809,0.468181,0.698559,10483,190074,200557,0.052269,107376,0.535389,2546,1646,0,0,0,0,0,0,0.0,0.015877,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,107,62,45,0.451613,0.725806,0.901587,0.564078,0.444211,0.564078,0.740352,1.135206,45,28,1988,3190,2090,1100,49,787.24096,113.232159,0.09436,311.74742,981.778707,1293.526127,0.64163,0.390497,0.499605,9578,146732,156310,0.061276,68251,0.436639,1559,0,1025,26,33,29,0,0,0.0,0.344828,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,107,62,45,0.806452,0.870968,0.976417,1.02786,0.824713,1.02786,2.493568,2.740352,54,50,2153,2692,1957,735,54,664.342528,102.443477,0.08537,263.079641,834.020772,1097.100413,0.498003,0.301563,0.486977,9575,122333,131908,0.072588,57387,0.435053,1094,600,667,14,43,19,46,8,0.95191,0.273031,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,107,62,45,0.951613,0.967742,0.930612,2.363307,1.366141,2.363307,2.751229,15.493568,60,59,2052,2515,1851,664,63,620.66176,103.231159,0.086026,245.782057,785.033754,1030.81581,0.488307,0.294013,0.47339,10311,112924,123235,0.083669,53624,0.435136,1086,578,589,12,48,14,0,5,0.958906,0.264016,3,99,109.1973,0,61,0,1
smart-calm-static,6,1200.0,107,62,45,0.951613,0.967742,0.952834,4.213362,2.979474,4.213362,15.246784,15.493568,60,59,2101,2927,2165,762,63,722.336768,109.921552,0.091601,286.04536,909.740947,1195.786307,0.553605,0.334415,0.471462,10429,132994,143423,0.072715,63125,0.440132,1116,618,685,14,43,19,257,9,0.951524,0.260335,0,0,0.0,1,0,62,0
smart-calm-no-fallback,6,1200.0,107,62,45,0.887097,0.935484,0.955102,0.908262,0.65727,0.908262,2.093568,2.340352,58,55,2106,2550,1889,661,60,629.2992,101.341804,0.084452,249.202483,797.574095,1046.776578,0.484395,0.291207,0.459504,9918,115032,124950,0.079376,55340,0.442897,943,559,589,12,48,14,8,5,0.957189,0.259216,9,99,96.760079,0,58,0,4
smart-calm-no-confidence,6,1200.0,107,62,45,0.951613,0.967742,0.930612,2.363307,1.366141,2.363307,2.751229,15.493568,60,59,2052,2515,1851,664,63,620.66176,103.231159,0.086026,245.782057,785.033754,1030.81581,0.488307,0.294013,0.47339,10311,112924,123235,0.083669,53624,0.435136,1086,578,589,12,48,14,0,5,0.958906,0.264016,3,99,109.1973,0,61,0,1
meshtastic-like,7,1200.0,128,68,60,0.911765,0.985294,0.94898,0.589534,0.449849,0.589534,1.863154,0.493568,67,62,2790,5099,5024,75,75,1258.351616,180.551242,0.150459,498.30724,1637.315612,2135.622851,0.748816,0.441217,0.528526,12168,237683,249851,0.048701,128802,0.515515,2850,1882,0,0,0,0,0,0,0.0,0.014709,0,0,0.0,-1,0,0,0
meshcore-like,7,1200.0,128,68,60,0.558824,0.75,0.95,0.493568,0.372595,0.493568,0.740352,0.493568,51,38,2793,3803,2906,897,51,938.519552,129.712989,0.108094,371.653743,1160.832971,1532.486714,0.541323,0.331515,0.473998,10700,175647,186347,0.05742,79972,0.429156,2004,0,828,18,40,28,0,0,0.0,0.235866,0,0,0.0,-1,0,0,0
calm-mesh,7,1200.0,128,68,60,0.882353,0.911765,0.947959,1.092345,0.944287,1.092345,2.493568,2.740352,62,60,2787,3402,2539,863,69,839.559168,130.713437,0.108928,332.465431,1065.425719,1397.89115,0.491005,0.294893,0.379213,11789,154909,166698,0.070721,75557,0.453257,1339,728,780,14,50,18,74,8,0.943275,0.253674,0,0,0.0,-1,0,0,0
smart-calm,7,1200.0,128,68,60,0.970588,1.0,0.947279,1.455202,1.076679,1.455202,2.093568,2.340352,68,66,2785,3200,2541,659,70,789.7088,128.694699,0.107246,312.724685,1007.840807,1320.565492,0.463194,0.276994,0.453407,12037,144763,156800,0.076767,71568,0.456429,1573,807,579,10,56,12,90,4,0.951914,0.205937,5,108,124.742196,0,67,1,0
smart-calm-static,7,1200.0,128,68,60,1.0,1.0,0.964966,3.438925,2.758601,3.438925,15.246784,15.493568,68,68,2837,3564,2743,821,76,879.538176,145.681795,0.121401,348.297118,1122.549281,1470.846398,0.506315,0.302767,0.520106,12928,161708,174636,0.074028,80114,0.458748,1881,912,731,14,49,19,249,7,0.939842,0.230359,0,0,0.0,1,0,68,0
smart-calm-no-fallback,7,1200.0,128,68,60,0.955882,0.955882,0.966667,0.803744,0.543932,0.803744,2.093568,2.340352,65,65,2842,3144,2481,663,66,775.888896,127.938427,0.106615,307.252003,984.932666,1292.184668,0.444508,0.266904,0.460261,11974,142082,154056,0.077725,68936,0.447474,1669,831,587,10,56,12,3,4,0.951958,0.210878,1,108,120.054567,0,68,0,0
smart-calm-no-confidence,7,1200.0,128,68,60,0.970588,1.0,0.947279,1.455202,1.076679,1.455202,2.093568,2.340352,68,66,2785,3200,2541,659,70,789.7088,128.694699,0.107246,312.724685,1007.840807,1320.565492,0.463194,0.276994,0.453407,12037,144763,156800,0.076767,71568,0.456429,1573,807,579,10,56,12,90,4,0.951914,0.205937,5,108,124.742196,0,67,1,0
meshtastic-like,8,1200.0,125,63,62,0.952381,1.0,0.951613,0.693408,0.453463,0.693408,1.828704,2.287041,63,60,2891,4952,4881,71,71,1222.074368,181.312742,0.151094,483.94145,1609.550709,2093.492158,0.709418,0.414122,0.525419,12172,230476,242648,0.050163,128999,0.53163,3004,1927,0,0,0,0,0,0,0.0,0.014338,0,0,0.0,-1,0,0,0
meshcore-like,8,1200.0,125,63,62,0.539683,0.904762,0.983542,0.580668,0.458932,0.580668,0.740352,0.987136,57,34,2988,4383,3118,1265,63,1081.654272,142.519584,0.118766,428.335092,1328.420583,1756.755674,0.581322,0.357927,0.372542,12242,202525,214767,0.057001,89780,0.418034,1775,0,1176,26,39,24,0,0,0.0,0.288615,0,0,0.0,-1,0,0,0
