protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
smart-calm-static,7,1200.0,222,123,99,0.837398,0.886179,0.950113,5.712444,4.98634,5.712444,15.246784,15.493568,109,103,4609,5985,4881,1104,122,1477.00224,256.31753,0.213598,584.892887,1903.414105,2488.306992,0.528079,0.313455,0.705028,20508,272757,293265,0.06993,140908,0.48048,3358,1732,967,15,81,42,800,12,0.939213,0.184461,0,0,0.0,1,0,123,0
smart-calm-no-fallback,7,1200.0,222,123,99,0.764228,0.829268,0.924964,0.860471,0.623718,0.860471,2.493568,2.740352,102,94,4487,5256,4181,1075,107,1297.096704,213.204989,0.177671,513.650295,1635.805738,2149.456032,0.469211,0.283147,0.446709,18637,238907,257544,0.072364,115008,0.446557,2568,1255,953,15,93,30,177,12,0.938445,0.204528,6,162,111.07737,2,62,17,44
smart-calm-no-confidence,7,1200.0,222,123,99,0.853659,0.934959,0.943311,4.034598,3.527333,4.034598,15.246784,15.493568,115,105,4576,5526,4388,1138,126,1363.728384,241.807897,0.201507,540.03644,1756.486601,2296.523041,0.490605,0.291333,0.645391,20756,250018,270774,0.076654,128302,0.473834,3173,1538,997,15,89,34,320,13,0.947369,0.205936,11,161,147.40665,0,93,19,11
meshtastic-like,8,1200.0,207,100,107,0.77,0.97,0.931337,0.661826,0.705294,0.661826,2.872856,2.272914,97,77,4883,8068,7953,115,115,1991.053312,303.252554,0.25271,788.457112,2617.668326,3406.125438,0.686719,0.401422,0.698698,19025,375670,394695,0.048202,210360,0.532968,5016,3153,0,0,0,0,0,0,0.0,0.014254,0,0,0.0,-1,0,0,0
meshcore-like,8,1200.0,207,100,107,0.48,0.7,0.953843,0.493568,0.394854,0.493568,0.740352,0.493568,70,48,5001,6453,5185,1268,70,1592.497152,189.848792,0.158207,630.628872,1939.617525,2570.246397,0.50906,0.315408,0.3648,15410,300787,316197,0.048735,131225,0.41501,2298,0,1174,24,56,44,0,0,0.0,0.196498,0,0,0.0,-1,0,0,0
calm-mesh,8,1200.0,207,100,107,0.75,0.82,0.940492,0.911273,0.822658,0.911273,2.493568,2.740352,82,75,4931,5400,4426,974,83,1332.6336,200.140742,0.166784,527.722906,1677.310493,2205.033398,0.440478,0.266207,0.416847,16690,247910,264600,0.063076,119159,0.450336,2300,1336,875,16,76,24,93,11,0.946177,0.18037,0,0,0.0,-1,0,0,0
smart-calm,8,1200.0,207,100,107,0.91,0.95,0.960328,3.868968,2.634227,3.868968,15.246784,15.493568,95,91,5035,5394,4577,817,103,1331.152896,212.685407,0.177238,527.136547,1692.358902,2219.495449,0.432988,0.259686,0.457532,18369,245937,264306,0.069499,120845,0.457216,2377,1383,701,13,83,17,79,8,0.947269,0.151465,1,140,142.55245,0,100,0,0
smart-calm-static,8,1200.0,207,100,107,0.93,0.97,0.95308,4.673295,4.23051,4.673295,15.246784,15.493568,97,93,4997,5796,4851,945,102,1430.360064,227.471456,0.18956,566.422585,1827.735871,2394.158456,0.470365,0.281014,0.587219,19218,264786,284004,0.067668,132724,0.467331,3032,1632,827,16,73,27,455,11,0.946906,0.163043,0,0,0.0,1,0,100,0
smart-calm-no-fallback,8,1200.0,207,100,107,0.81,0.87,0.960519,0.837187,0.570765,0.837187,2.093568,2.340352,87,81,5036,5451,4611,840,93,1345.219584,210.60566,0.175505,532.706955,1700.579327,2233.286282,0.436444,0.262892,0.458555,17398,249701,267099,0.065137,121306,0.454161,2176,1273,731,16,82,18,122,7,0.936737,0.1541,7,138,130.34045,0,83,1,16
smart-calm-no-confidence,8,1200.0,207,100,107,0.91,0.95,0.960328,3.868968,2.634227,3.868968,15.246784,15.493568,95,91,5035,5394,4577,817,103,1331.152896,212.685407,0.177238,527.136547,1692.358902,2219.495449,0.432988,0.259686,0.457532,18369,245937,264306,0.069499,120845,0.457216,2377,1383,701,13,83,17,79,8,0.947269,0.151465,1,140,142.55245,0,100,0,0
meshtastic-like,9,1200.0,193,90,103,0.755556,0.911111,0.923321,0.843676,0.853967,0.843676,4.642614,1.763618,82,68,4660,7157,7052,105,105,1766.233088,280.314016,0.233595,699.428303,2337.762876,3037.191178,0.642384,0.373569,0.812479,18020,332428,350448,0.05142,189941,0.541995,5250,3162,0,0,0,0,0,0,0.0,0.014671,0,0,0.0,-1,0,0,0
meshcore-like,9,1200.0,193,90,103,0.322222,0.455556,0.948881,0.493568,0.379205,0.493568,0.740352,0.493568,41,29,4789,5953,4920,1033,41,1469.105152,220.012931,0.183344,581.76564,1873.15791,2454.92355,0.509532,0.30492,0.704618,14079,277618,291697,0.048266,141040,0.483515,4051,0,968,24,41,49,0,0,0.0,0.173526,0,0,0.0,-1,0,0,0
calm-mesh,9,1200.0,193,90,103,0.622222,0.733333,0.958787,0.894779,0.781353,0.894779,2.493568,2.740352,66,56,4839,5230,4276,954,67,1290.68032,208.185909,0.173488,511.109407,1656.331634,2167.441041,0.442787,0.263673,0.580188,15333,240643,255976,0.0599,123170,0.481178,2816,1501,871,16,67,23,33,10,0.942442,0.182409,0,0,0.0,-1,0,0,0
smart-calm,9,1200.0,193,90,103,0.888889,0.933333,0.967109,8.201331,5.978024,8.201331,15.246784,30.493568,84,80,4881,5255,4380,875,95,1296.84992,233.497034,0.194581,513.552568,1679.139118,2192.691686,0.441986,0.261409,0.746033,18540,238955,257495,0.072001,124485,0.483446,3497,1747,766,14,53,37,175,8,0.954073,0.166508,3,129,124.88565,0,89,1,0
smart-calm-static,9,1200.0,193,90,103,0.888889,0.933333,0.958589,7.272976,5.573993,7.272976,15.246784,17.525056,84,80,4838,5758,4766,992,101,1420.982272,236.936359,0.197447,562.70898,1832.995265,2395.704245,0.48713,0.288935,0.640293,18673,263028,281701,0.066287,135958,0.482632,3396,1753,876,15,57,33,585,10,0.937433,0.172282,0,0,0.0,1,0,90,0
smart-calm-no-fallback,9,1200.0,193,90,103,0.722222,0.788889,0.950466,0.922386,0.661899,0.922386,2.132481,2.60004,71,65,4797,5149,4329,820,74,1270.690816,215.840627,0.179867,503.193563,1639.001637,2142.1952,0.4406,0.261351,0.579322,16551,235750,252301,0.0656,122301,0.484742,3387,1726,730,16,70,20,159,7,0.934726,0.159254,4,129,91.198961,2,54,0,36
smart-calm-no-confidence,9,1200.0,193,90,103,0.888889,0.933333,0.967109,8.201331,5.978024,8.201331,15.246784,30.493568,84,80,4881,5255,4380,875,95,1296.84992,233.497034,0.194581,513.552568,1679.139118,2192.691686,0.441986,0.261409,0.746033,18540,238955,257495,0.072001,124485,0.483446,3497,1747,766,14,53,37,175,8,0.954073,0.166508,3,129,124.88565,0,89,1,0
