protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshcore-like,12,1200.0,213,106,107,0.160377,0.235849,0.944879,0.522601,0.375112,0.522601,0.740352,0.592282,25,17,4954,5662,5094,568,26,1397.291008,186.232688,0.155194,553.327239,1737.076333,2290.403572,0.460753,0.281089,0.472743,11810,265628,277438,0.042568,125402,0.452,3525,0,529,13,27,79,0,0,0.0,0.100318,0,0,0.0,-1,0,0,0
calm-mesh,12,1200.0,213,106,107,0.575472,0.650943,0.947549,1.033919,0.953008,1.033919,2.493568,2.740352,69,61,4968,5528,4521,1007,72,1364.221952,219.858363,0.183215,540.231893,1750.338059,2290.569952,0.455472,0.271271,0.539262,16644,254228,270872,0.061446,130561,0.482003,3316,1748,920,15,68,38,235,15,0.948391,0.182164,0,0,0.0,-1,0,0,0
smart-calm,12,1200.0,213,106,107,0.811321,0.858491,0.961663,15.826699,12.617096,15.826699,35.246784,35.493568,91,86,5042,6176,5272,904,105,1524.137984,271.180172,0.225983,603.558642,1988.881354,2592.439995,0.505546,0.297219,0.889134,20397,282227,302624,0.0674,151723,0.501358,4591,2266,786,13,65,41,995,12,0.92489,0.146373,11,146,87.047686,0,102,3,1
meshtastic-like,13,1200.0,210,99,111,0.717172,0.878788,0.884354,0.651676,0.836314,0.651676,3.929437,2.063768,87,71,4810,7686,7579,107,107,1896.781824,294.537119,0.245448,751.125602,2482.828202,3233.953804,0.66256,0.388605,0.714685,18074,358540,376614,0.047991,199307,0.529208,5029,3071,0,0,0,0,0,0,0.0,0.013921,0,0,0.0,-1,0,0,0
meshcore-like,13,1200.0,210,99,111,0.424242,0.626263,0.931054,0.813237,0.558863,0.813237,0.740352,1.480704,62,42,5064,6639,5261,1378,78,1638.398976,263.56502,0.219638,648.805994,2084.45637,2733.262364,0.535304,0.320877,0.693291,18801,306510,325311,0.057794,154131,0.473796,4237,0,1264,36,62,37,0,0,0.0,0.207561,0,0,0.0,-1,0,0,0
calm-mesh,13,1200.0,210,99,111,0.444444,0.525253,0.92278,0.839793,0.976585,0.839793,3.598948,2.740352,52,44,5019,5503,4596,907,53,1358.052352,218.588108,0.182157,537.788731,1757.015057,2294.803788,0.45325,0.268231,0.715468,14426,255221,269647,0.0535,135665,0.503121,3178,1677,840,14,51,48,202,13,0.945104,0.164819,0,0,0.0,-1,0,0,0
smart-calm,13,1200.0,210,99,111,0.828283,0.919192,0.955874,13.560763,11.756228,13.560763,35.370176,35.987136,91,82,5199,6472,5655,817,106,1597.186048,266.792136,0.222327,632.485675,2046.181067,2678.666742,0.507227,0.30244,0.948434,19844,297186,317030,0.062593,151981,0.47939,3579,1897,697,14,64,35,1006,8,0.91511,0.126236,7,136,106.150041,0,75,1,23
meshtastic-like,14,1200.0,188,81,107,0.777778,0.925926,0.907114,0.639592,0.693356,0.639592,3.359347,1.988823,75,63,4756,7049,6962,87,87,1739.580416,270.419835,0.22535,688.873845,2293.926204,2982.800049,0.618967,0.360984,0.843456,16720,328681,345401,0.048408,185807,0.537946,4781,2903,0,0,0,0,0,0,0.0,0.012342,0,0,0.0,-1,0,0,0
meshcore-like,14,1200.0,188,81,107,0.469136,0.765432,0.907305,0.532534,0.421921,0.532534,0.740352,0.987136,62,38,4757,6142,4923,1219,65,1515.747328,210.029744,0.175025,600.235942,1886.235095,2486.471037,0.518555,0.31611,0.60172,15430,285528,300958,0.05127,134261,0.446112,3190,0,1129,25,50,31,0,0,0.0,0.19847,0,0,0.0,-1,0,0,0
calm-mesh,14,1200.0,188,81,107,0.666667,0.728395,0.942399,1.098092,0.995286,1.098092,2.763142,2.740352,59,54,4941,5360,4470,890,63,1322.76224,199.905089,0.166588,523.813847,1673.409985,2197.223832,0.439885,0.264817,0.572457,14745,247895,262640,0.056141,122042,0.464674,2795,1491,813,14,50,31,103,9,0.950262,0.166045,0,0,0.0,-1,0,0,0
