seed,pair_index,source,destination,selected_graph_hops,protocol,matched_rreq_timing,unicast_flows,discovery_count,candidate_count,candidate_paths_json,selected_path_json,destination_delivered,ack_confirmed,total_airtime_s,route_cache_hits,route_repair_count,fallback_forward_count,candidate_sets_identical,shared_multi_candidate_set
21,23,4,14,2,meshecho,1,1,1,3,"[[4, 5, 26, 14], [4, 14], [4, 23, 14]]","[4, 23, 14]",1,1,3.95648,0,0,0,1,1
21,23,4,14,2,etx-mesh,1,1,1,3,"[[4, 5, 26, 14], [4, 14], [4, 23, 14]]","[4, 14]",1,1,3.740672,0,0,0,1,1
21,23,4,14,2,minhop-mesh,1,1,1,3,"[[4, 5, 26, 14], [4, 14], [4, 23, 14]]","[4, 14]",1,1,3.740672,0,0,0,1,1
21,23,4,14,2,meshcore-like,1,1,1,3,"[[4, 5, 26, 14], [4, 14], [4, 23, 14]]","[4, 14]",1,1,3.740672,0,0,0,1,1
21,24,20,40,2,meshecho,1,1,1,3,"[[20, 6, 40], [20, 40], [20, 43, 13, 40]]","[20, 6, 40]",1,1,3.95648,0,0,0,1,1
21,24,20,40,2,etx-mesh,1,1,1,3,"[[20, 6, 40], [20, 40], [20, 43, 13, 40]]","[20, 40]",1,1,3.740672,0,0,0,1,1
21,24,20,40,2,minhop-mesh,1,1,1,3,"[[20, 6, 40], [20, 40], [20, 43, 13, 40]]","[20, 40]",1,1,3.740672,0,0,0,1,1
21,24,20,40,2,meshcore-like,1,1,1,3,"[[20, 6, 40], [20, 40], [20, 43, 13, 40]]","[20, 40]",1,1,3.740672,0,0,0,1,1
22,1,2,38,2,meshecho,1,1,1,2,"[[2, 37, 38], [2, 49, 5, 38]]","[2, 37, 38]",1,1,3.95648,0,0,0,1,1
22,1,2,38,2,etx-mesh,1,1,1,2,"[[2, 37, 38], [2, 49, 5, 38]]","[2, 37, 38]",1,1,3.95648,0,0,0,1,1
22,1,2,38,2,minhop-mesh,1,1,1,2,"[[2, 37, 38], [2, 49, 5, 38]]","[2, 37, 38]",1,1,3.95648,0,0,0,1,1
22,1,2,38,2,meshcore-like,1,1,1,2,"[[2, 37, 38], [2, 49, 5, 38]]","[2, 37, 38]",1,1,3.95648,0,0,0,1,1
22,2,17,10,2,meshecho,1,1,1,2,"[[17, 3, 10], [17, 36, 10]]","[17, 3, 10]",1,1,3.95648,0,0,0,1,1
22,2,17,10,2,etx-mesh,1,1,1,2,"[[17, 3, 10], [17, 36, 10]]","[17, 3, 10]",1,1,3.95648,0,0,0,1,1
22,2,17,10,2,minhop-mesh,1,1,1,2,"[[17, 3, 10], [17, 36, 10]]","[17, 3, 10]",1,1,3.95648,0,0,0,1,1
22,2,17,10,2,meshcore-like,1,1,1,2,"[[17, 3, 10], [17, 36, 10]]","[17, 3, 10]",1,1,3.95648,0,0,0,1,1
22,3,8,45,2,meshecho,1,1,1,3,"[[8, 13, 41, 45], [8, 24, 34, 45], [8, 37, 1, 45]]","[8, 24, 34, 45]",0,0,3.95648,0,0,0,1,1
