protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_ttl_s,evaluation_variant,scenario
meshcore-like,12,1200.0,132,63,69,0.142857,0.238095,0.985211,0.493568,0.444211,0.493568,0.740352,0.493568,15,9,3331,3870,3406,464,15,955.05408,119.317055,0.099431,378.201416,1186.140135,1564.341551,0.468366,0.285944,0.491358,7278,182352,189630,0.03838,86227,0.454712,2005,0,436,13,11,6,11,52,0,0,0.0,0.119897,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,12,1200.0,132,63,69,0.793651,0.809524,0.982845,1.162668,0.902764,1.162668,2.493568,2.740352,51,50,3323,3841,2960,881,51,947.897344,144.968403,0.120807,375.367348,1206.565373,1581.932721,0.468999,0.281025,0.492526,11748,176461,188209,0.06242,87948,0.467289,1924,1041,814,16,18,14,42,21,67,10,0.955345,0.229367,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,13,1200.0,129,63,66,0.380952,0.587302,0.944341,0.493568,0.4202,0.493568,0.740352,0.493568,37,24,3054,4105,3165,940,37,1013.04832,116.133533,0.096778,401.167135,1218.250119,1619.417254,0.526126,0.329126,0.335728,9125,192020,201145,0.045365,80986,0.402625,1289,0,884,19,20,16,28,35,0,0,0.0,0.228989,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,13,1200.0,129,63,66,0.47619,0.619048,0.968769,0.493568,0.360684,0.493568,0.740352,0.493568,39,30,3133,3885,3245,640,39,958.75584,118.464427,0.09872,379.667313,1165.899437,1545.56675,0.48864,0.303116,0.438021,9141,181224,190365,0.048018,79309,0.416615,1472,0,589,12,13,10,38,25,0,0,0.0,0.164736,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,13,1200.0,129,63,66,0.777778,0.793651,0.998763,1.084617,0.826012,1.084617,2.493568,2.740352,50,49,3230,3708,2910,798,50,915.075072,135.454192,0.112878,362.369729,1138.881083,1501.250811,0.457838,0.279071,0.492856,11222,170421,181643,0.061781,79174,0.435877,1596,849,733,15,16,14,46,17,36,8,0.949772,0.21521,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,14,1200.0,114,46,68,0.456522,0.913043,0.941176,0.493568,0.481816,0.493568,0.740352,0.493568,42,21,3136,4285,3242,1043,42,1057.46944,131.665578,0.109721,418.757898,1297.45978,1716.217678,0.543623,0.33496,0.441475,10036,199929,209965,0.047798,89797,0.427676,1792,0,981,20,21,20,25,21,0,0,0.0,0.243407,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,14,1200.0,114,46,68,0.608696,0.891304,0.960984,0.493568,0.403281,0.493568,0.740352,0.493568,41,28,3202,4098,3306,792,41,1011.320832,127.425109,0.106188,400.483049,1245.427849,1645.910898,0.50957,0.313102,0.48846,9786,191016,200802,0.048735,86772,0.432127,1681,0,735,16,15,14,30,16,0,0,0.0,0.193265,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,14,1200.0,114,46,68,0.869565,0.869565,0.981393,1.111434,0.86465,1.111434,2.493568,2.740352,40,40,3270,3709,2923,786,40,915.321856,131.508636,0.109591,362.467455,1144.517945,1506.9854,0.455283,0.276532,0.543809,10300,171441,181741,0.056674,81288,0.447274,1610,872,731,15,15,14,31,15,0,7,0.953991,0.211917,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,15,1200.0,135,68,67,0.235294,0.411765,0.946695,0.493568,0.458313,0.493568,0.740352,0.493568,28,16,3108,4074,3199,875,28,1005.398016,127.46849,0.106224,398.137614,1242.651359,1640.788973,0.525221,0.32183,0.557683,8674,190952,199626,0.043451,88475,0.443204,1792,0,828,19,18,13,17,51,0,0,0.0,0.214777,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,15,1200.0,135,68,67,0.367647,0.5,0.934207,0.493568,0.377434,0.493568,0.740352,0.493568,34,25,3067,3804,3171,633,34,938.766336,122.507099,0.102089,371.751469,1160.614878,1532.366347,0.495591,0.303611,0.546341,8843,177553,186396,0.047442,81974,0.439784,1715,0,586,13,13,10,30,38,0,0,0.0,0.166404,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,15,1200.0,135,68,67,0.764706,0.794118,0.91989,1.136933,1.045447,1.136933,2.493568,2.740352,54,52,3020,3799,2860,939,59,937.532416,142.209921,0.118508,371.262837,1187.020895,1558.283731,0.507254,0.305186,0.509129,11498,174653,186151,0.061767,85686,0.460304,1527,813,865,15,19,14,39,29,136,12,0.937663,0.24717,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,16,1200.0,121,53,68,0.415094,0.773585,0.963385,0.516003,0.457453,0.516003,0.740352,0.493568,41,22,3210,4231,3287,944,42,1044.143104,143.361195,0.119468,413.480669,1304.279377,1717.760046,0.531485,0.323064,0.68912,10324,196995,207319,0.049798,93687,0.451898,2067,0,883,19,19,18,27,26,0,0,0.0,0.223115,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,16,1200.0,121,53,68,0.603774,0.886792,0.977491,0.493568,0.383303,0.493568,0.740352,0.493568,47,32,3257,4032,3335,697,47,995.033088,143.613222,0.119678,394.033103,1250.896948,1644.93005,0.500131,0.302534,0.718588,10582,186986,197568,0.053561,90544,0.458293,2141,0,637,13,13,13,40,13,0,0,0.0,0.172867,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,16,1200.0,121,53,68,0.792453,0.849057,0.962785,1.082011,0.845926,1.082011,2.493568,2.740352,45,42,3208,3532,2837,695,45,871.641088,134.645767,0.112205,345.169871,1100.479957,1445.649828,0.444815,0.268197,0.60006,10667,162401,173068,0.061635,79385,0.458693,1801,961,637,13,13,13,40,13,0,5,0.952049,0.196772,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,17,1200.0,107,53,54,0.320755,0.660377,0.981481,0.493568,0.486517,0.493568,0.740352,0.493568,35,17,2597,3626,2688,938,35,894.838784,103.064239,0.085887,354.356158,1084.114602,1438.470761,0.550295,0.342325,0.273579,8203,169471,177674,0.046169,72628,0.408771,1286,0,884,19,20,17,20,33,0,0,0.0,0.258687,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,17,1200.0,107,53,54,0.566038,0.754717,0.981481,0.51002,0.382515,0.51002,0.740352,0.493568,40,30,2597,3338,2697,641,40,823.764992,101.207498,0.08434,326.210937,1004.63652,1330.847456,0.506604,0.313576,0.281731,8546,155016,163562,0.052249,67410,0.412137,1387,0,588,13,12,11,35,18,0,0,0.0,0.192031,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,17,1200.0,107,53,54,0.735849,0.754717,0.992063,1.127276,0.979471,1.127276,2.493568,2.740352,40,39,2625,3113,2371,742,43,768.238592,111.6573,0.093048,304.222482,962.813013,1267.035496,0.475614,0.288378,0.364504,9224,143313,152537,0.060471,67828,0.444666,1416,734,686,13,14,12,33,20,35,7,0.951481,0.238355,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,18,1200.0,122,67,55,0.537313,0.895522,0.945455,0.548409,0.533805,0.548409,0.740352,0.987136,60,36,2548,3895,2677,1218,67,961.22368,132.136908,0.110114,380.644577,1176.569212,1557.21379,0.602637,0.371991,0.354627,11960,178895,190855,0.062665,78285,0.410181,1682,0,1123,28,23,22,43,24,0,0,0.0,0.312709,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,18,1200.0,122,67,55,0.656716,0.880597,0.963636,0.560873,0.372267,0.560873,0.740352,0.987136,59,44,2597,3490,2724,766,65,861.27616,115.366136,0.096138,341.065359,1048.682896,1389.748255,0.52622,0.326117,0.311137,10900,160110,171010,0.063739,68502,0.400573,1291,0,686,15,14,13,52,15,0,0,0.0,0.219484,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
