protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshcore-like,15,1200.0,135,68,67,0.573529,0.573529,0.903747,1.012057,0.765273,1.012057,2.493568,2.740352,39,39,2967,3702,3071,631,39,913.594368,120.712166,0.100593,361.78337,1122.700268,1484.483638,0.49384,0.303924,0.503298,9312,172086,181398,0.051335,77966,0.429806,1607,0,581,11,13,9,34,34,0,0,0.0,0.170448,0,0,0.0,-1,0,0,0
etx-mesh,15,1200.0,135,68,67,0.647059,0.647059,0.925373,1.106327,0.859543,1.106327,2.493568,2.740352,44,44,3038,3484,2641,843,44,859.795456,133.245641,0.111038,340.479001,1098.458404,1438.937405,0.466884,0.278973,0.483646,10512,160204,170716,0.061576,81361,0.476587,1771,909,785,14,17,12,37,31,0,9,0.472253,0.241963,0,0,0.0,-1,0,0,0
ett-mesh,15,1200.0,135,68,67,0.647059,0.647059,0.925373,1.106327,0.859543,1.106327,2.493568,2.740352,44,44,3038,3484,2641,843,44,859.795456,133.245641,0.111038,340.479001,1098.458404,1438.937405,0.466884,0.278973,0.483646,10512,160204,170716,0.061576,81361,0.476587,1771,909,785,14,17,12,37,31,0,9,0.774859,0.241963,0,0,0.0,-1,0,0,0
minhop-mesh,15,1200.0,135,68,67,0.647059,0.647059,0.925373,1.106327,0.859543,1.106327,2.493568,2.740352,44,44,3038,3484,2641,843,44,859.795456,133.245641,0.111038,340.479001,1098.458404,1438.937405,0.466884,0.278973,0.483646,10512,160204,170716,0.061576,81361,0.476587,1771,909,785,14,17,12,37,31,0,9,0.951962,0.241963,0,0,0.0,-1,0,0,0
meshecho,15,1200.0,135,68,67,0.705882,0.705882,0.904051,1.096931,0.850147,1.096931,2.493568,2.740352,48,48,2968,3644,2752,892,48,899.280896,133.497536,0.111248,356.115235,1128.957856,1485.073091,0.492398,0.29817,0.438095,10670,167886,178556,0.059757,80384,0.450189,1518,702,830,14,18,12,37,31,47,11,0.937121,0.244786,0,0,0.0,-1,0,0,0
meshtastic-like,16,1200.0,121,53,68,0.90566,0.981132,0.937575,0.687324,0.502608,0.687324,1.862596,2.189007,52,48,3124,4765,4706,59,59,1175.92576,176.867072,0.147389,465.666601,1544.919719,2010.58632,0.633854,0.370721,0.792724,11343,222142,233485,0.048581,124019,0.531165,2947,1808,0,0,0,0,0,0,0,0,0.0,0.012382,0,0,0.0,-1,0,0,0
meshcore-like,16,1200.0,121,53,68,0.735849,0.792453,0.960984,1.012057,0.781733,1.012057,2.493568,2.740352,42,39,3202,3924,3282,642,42,968.380416,134.501492,0.112085,383.478645,1203.218486,1586.697131,0.48957,0.298791,0.62546,10236,182040,192276,0.053236,85172,0.442967,1820,0,588,12,12,11,38,15,0,0,0.0,0.163609,0,0,0.0,-1,0,0,0
etx-mesh,16,1200.0,121,53,68,0.735849,0.792453,0.938475,1.012057,0.781733,1.012057,2.493568,2.740352,42,39,3127,3397,2755,642,42,838.325248,125.830676,0.104859,331.976798,1072.991865,1404.968663,0.443768,0.26479,0.509534,9925,156528,166453,0.059626,79998,0.480604,1567,912,588,12,12,11,38,15,0,4,0.472065,0.18899,0,0,0.0,-1,0,0,0
ett-mesh,16,1200.0,121,53,68,0.735849,0.792453,0.938475,1.012057,0.781733,1.012057,2.493568,2.740352,42,39,3127,3397,2755,642,42,838.325248,125.830676,0.104859,331.976798,1072.991865,1404.968663,0.443768,0.26479,0.509534,9925,156528,166453,0.059626,79998,0.480604,1567,912,588,12,12,11,38,15,0,4,0.774128,0.18899,0,0,0.0,-1,0,0,0
minhop-mesh,16,1200.0,121,53,68,0.735849,0.792453,0.938475,1.012057,0.781733,1.012057,2.493568,2.740352,42,39,3127,3397,2755,642,42,838.325248,125.830676,0.104859,331.976798,1072.991865,1404.968663,0.443768,0.26479,0.509534,9925,156528,166453,0.059626,79998,0.480604,1567,912,588,12,12,11,38,15,0,4,0.952065,0.18899,0,0,0.0,-1,0,0,0
meshecho,16,1200.0,121,53,68,0.792453,0.849057,0.962785,1.082011,0.845926,1.082011,2.493568,2.740352,45,42,3208,3532,2837,695,45,871.641088,134.645767,0.112205,345.169871,1100.479957,1445.649828,0.444815,0.268197,0.60006,10667,162401,173068,0.061635,79385,0.458693,1801,961,637,13,13,13,40,13,0,5,0.952049,0.196772,0,0,0.0,-1,0,0,0
