protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
calm-mesh,12,1200.0,134,134,0,0.902985,0.932836,0.0,0.772095,0.516398,0.772095,2.493568,2.740352,125,121,0,1059,134,925,125,261.344256,84.118362,0.070099,103.492325,341.474752,444.967077,3.677414,2.15987,0.516398,14007,37884,51891,0.269931,15526,0.299204,228,0,784,16,118,16,0,8,0.947382,0.873466,0,0,0.0,-1,0,0,0
smart-calm,12,1200.0,134,134,0,0.932836,0.955224,0.0,9.366181,8.643259,9.366181,35.246784,35.493568,128,125,0,1943,1158,785,134,479.501312,109.529159,0.091274,189.88252,619.459307,809.341827,6.474735,3.83601,8.643259,14800,80407,95207,0.155451,37717,0.396158,667,295,638,13,94,40,1035,6,0.942572,0.404014,12,174,132.579027,1,113,8,13
meshtastic-like,13,1200.0,111,111,0,0.810811,0.945946,0.0,0.680819,0.707411,0.680819,3.188393,2.101186,105,90,0,4387,4267,120,120,1082.641408,177.569458,0.147975,428.725998,1432.350234,1861.076231,20.678625,12.029349,0.707411,13043,201920,214963,0.060676,113851,0.529631,2751,1672,0,0,0,0,0,0,0.0,0.027354,0,0,0.0,-1,0,0,0
meshcore-like,13,1200.0,111,111,0,0.540541,0.747748,0.0,0.493568,0.371663,0.493568,0.740352,0.493568,83,60,0,1426,91,1335,83,351.913984,80.322456,0.066935,139.357938,456.443259,595.801196,9.93002,5.865233,0.371663,10217,59657,69874,0.14622,28723,0.411068,716,0,1225,27,69,42,0,0,0.0,0.936185,0,0,0.0,-1,0,0,0
calm-mesh,13,1200.0,111,111,0,0.873874,0.918919,0.0,0.864172,0.70952,0.864172,2.493568,2.740352,102,97,0,1122,170,952,104,276.891648,81.846286,0.068205,109.649093,367.486523,477.135616,4.918924,2.854553,0.70952,12003,42975,54978,0.218324,20657,0.375732,466,77,832,16,92,19,62,11,0.944745,0.848485,0,0,0.0,-1,0,0,0
smart-calm,13,1200.0,111,111,0,0.900901,0.936937,0.0,10.863084,10.957001,10.863084,35.246784,35.493568,104,100,0,2220,1364,856,107,547.86048,114.920006,0.095767,216.95275,714.900112,931.852862,9.318529,5.478605,10.957001,12382,96398,108780,0.113826,49426,0.454367,795,352,735,14,70,41,1273,7,0.93931,0.385586,5,151,92.984052,0,82,0,29
meshtastic-like,14,1200.0,125,125,0,0.816,0.96,0.0,0.609011,0.537474,0.609011,2.847786,1.722067,120,102,0,5037,4899,138,138,1243.051008,192.700249,0.160584,492.248199,1639.211342,2131.459541,20.896662,12.186775,0.537474,14220,232593,246813,0.057614,130363,0.528185,2758,1738,0,0,0,0,0,0,0.0,0.027397,0,0,0.0,-1,0,0,0
meshcore-like,14,1200.0,125,125,0,0.712,0.944,0.0,0.64724,0.429614,0.64724,0.740352,0.493568,118,89,0,1533,145,1388,134,378.319872,101.001534,0.084168,149.814669,492.126611,641.94128,7.212823,4.250785,0.429614,14734,60383,75117,0.196147,27487,0.365922,457,0,1225,29,100,25,0,0,0.0,0.905414,0,0,0.0,-1,0,0,0
calm-mesh,14,1200.0,125,125,0,0.832,0.88,0.0,0.79602,0.553164,0.79602,2.493568,2.740352,110,104,0,1028,118,910,110,253.693952,80.00721,0.066673,100.462805,333.539526,434.002331,4.173099,2.439365,0.553164,12321,38051,50372,0.2446,16838,0.334273,282,0,784,16,103,22,0,8,0.95052,0.885214,0,0,0.0,-1,0,0,0
smart-calm,14,1200.0,125,125,0,0.928,0.96,0.0,5.833294,5.116852,5.833294,35.246784,35.493568,120,116,0,1489,663,826,126,367.461376,97.693726,0.081411,145.514705,479.510776,625.025481,5.388151,3.16777,5.116852,13577,59384,72961,0.186086,27814,0.381217,421,96,686,14,100,25,533,6,0.946046,0.554735,9,165,130.443426,0,88,27,10
