protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.662572,49,2597,4164,4164,0,1027.608576,0.388363,0.296779,7286,196750,106736,2284,1563,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,17,1200.0,107,53,54,0.641509,1.0,0.493568,34,2646,3639,2737,902,898.046976,0.335092,0.287693,7302,171009,73754,1217,0,884,18,20,33,0,0,0.0,0.24787,0,0,0.0,-1
calm-mesh,17,1200.0,107,53,54,0.641509,0.980726,0.907603,34,2595,2916,2316,600,719.622144,0.273725,0.330167,6488,136396,62786,1100,651,588,12,30,23,0,4,0.951707,0.205761,0,0,0.0,-1
smart-calm,17,1200.0,107,53,54,0.943396,0.981481,3.546018,50,2597,3078,2479,599,759.601152,0.286967,0.354988,7309,143513,67857,1241,692,588,11,39,14,161,5,0.951911,0.194607,3,91,89.425675,0
meshtastic-like,18,1200.0,122,67,55,0.985075,0.97885,0.568981,66,2638,4891,4891,0,1207.020544,0.446383,0.554236,8646,231013,123743,2780,1869,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,122,67,55,0.895522,0.962894,0.413911,60,2595,3864,2713,1151,953.573376,0.359161,0.352859,9169,180167,79094,1429,0,1126,25,43,24,0,0,0.0,0.297878,0,0,0.0,-1
calm-mesh,18,1200.0,122,67,55,0.746269,0.964378,0.923351,50,2599,3127,2430,697,771.693568,0.291315,0.329293,7571,145652,66907,1129,619,684,13,43,24,32,6,0.947269,0.222897,0,0,0.0,-1
smart-calm,18,1200.0,122,67,55,0.940299,0.957328,8.371597,63,2580,3594,2996,598,886.941696,0.335581,0.576809,8083,168023,78515,1256,793,587,11,45,22,629,4,0.94974,0.166388,7,107,92.180348,0
meshtastic-like,19,1200.0,116,67,49,0.985075,0.970012,0.567822,66,2329,4666,4666,0,1151.494144,0.480791,0.547256,8165,220469,118965,2621,1769,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,116,67,49,0.910448,0.999584,0.424792,61,2400,3664,2514,1150,904.216576,0.367418,0.41777,8961,170575,75266,1372,0,1127,23,42,25,0,0,0.0,0.313865,0,0,0.0,-1
calm-mesh,19,1200.0,116,67,49,0.835821,0.997501,0.812563,56,2395,3003,2203,800,741.092352,0.302363,0.418493,7721,139426,62829,1055,594,784,16,46,21,0,8,0.951816,0.2664,0,0,0.0,-1
smart-calm,19,1200.0,116,67,49,0.955224,0.996668,7.654557,64,2393,3797,2852,945,937.038848,0.381375,0.560389,8491,177562,79695,1354,755,927,18,35,32,645,12,0.926635,0.248881,4,106,104.655058,2
meshtastic-like,20,1200.0,117,50,67,0.9,0.996954,0.389735,45,3273,4617,4617,0,1139.401728,0.3434,0.51619,8447,217786,119401,2923,1791,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,117,50,67,0.34,0.995126,0.537118,17,3267,4020,3345,675,992.07168,0.302092,0.357605,6690,190290,84396,1377,0,660,15,9,41,0,0,0.0,0.16791,0,0,0.0,-1
calm-mesh,20,1200.0,117,50,67,0.72,0.989034,1.135086,36,3247,3729,3002,727,920.257536,0.28031,0.41618,7937,174784,81248,1552,877,713,14,27,23,74,8,0.957597,0.194958,0,0,0.0,-1
smart-calm,20,1200.0,117,50,67,1.0,0.963143,8.014995,50,3162,4030,3487,543,994.53952,0.309632,0.493604,8038,189432,89548,1455,933,533,10,32,18,579,6,0.943301,0.134739,4,90,88.844685,2
