protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
calm-mesh,16,1200.0,121,53,68,0.867925,0.965486,0.881745,46,3217,3587,2891,696,46,885.214208,0.271288,0.597962,10598,165165,79972,1715,920,637,13,40,13,0,5,0.952049,0.194034,0,0,0.0,-1
smart-calm,16,1200.0,121,53,68,0.981132,0.969388,7.332704,52,3230,3494,2888,606,56,862.263296,0.262725,0.794906,11422,159784,78580,1878,1033,539,11,39,14,4,3,0.953065,0.17344,3,93,97.669681,0
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.662572,49,2597,4164,4164,0,0,1027.608576,0.388363,0.296779,7286,196750,106736,2284,1563,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,17,1200.0,107,53,54,0.641509,0.981481,0.493568,34,2597,3675,2688,987,34,906.9312,0.34471,0.280589,8453,171622,78053,1487,0,932,21,20,33,0,0,0.0,0.268571,0,0,0.0,-1
calm-mesh,17,1200.0,107,53,54,0.641509,0.981481,0.907603,34,2597,2925,2292,633,34,721.8432,0.274361,0.291939,8106,135219,63313,1031,616,587,12,30,23,0,4,0.950745,0.21641,0,0,0.0,-1
smart-calm,17,1200.0,107,53,54,0.962264,1.0,4.263847,51,2646,3009,2359,650,56,742.573056,0.275333,0.495127,10222,137219,68701,1572,854,583,11,39,14,56,5,0.94918,0.216019,1,90,83.57181,0
meshtastic-like,18,1200.0,122,67,55,0.985075,0.97885,0.568981,66,2638,4891,4891,0,0,1207.020544,0.446383,0.554236,8646,231013,123743,2780,1869,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,122,67,55,0.865672,0.945455,0.41698,58,2548,3875,2666,1209,58,956.288,0.366956,0.286853,10996,178879,80060,1620,0,1127,24,43,24,0,0,0.0,0.312,0,0,0.0,-1
calm-mesh,18,1200.0,122,67,55,0.880597,0.981818,0.775736,59,2646,3190,2430,760,59,787.24096,0.291032,0.428367,11101,145209,68602,1496,726,687,14,51,16,45,7,0.947058,0.238245,0,0,0.0,-1
smart-calm,18,1200.0,122,67,55,0.940299,0.980334,6.719522,63,2642,3078,2400,678,77,759.601152,0.280814,0.565535,12551,138271,64824,1224,746,588,13,55,12,0,4,0.927348,0.220273,5,107,85.884164,0
meshtastic-like,19,1200.0,116,67,49,0.985075,0.970012,0.567822,66,2329,4666,4666,0,0,1151.494144,0.480791,0.547256,8165,220469,118965,2621,1769,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,116,67,49,0.910448,0.979592,0.424792,61,2352,3677,2466,1211,61,907.424768,0.376057,0.328861,10550,169623,73745,1165,0,1127,23,42,25,0,0,0.0,0.329345,0,0,0.0,-1
calm-mesh,19,1200.0,116,67,49,0.820896,0.96085,0.777842,55,2307,2945,2090,855,55,726.77888,0.307696,0.285637,10276,134029,60512,1117,571,784,16,46,21,0,8,0.951816,0.290323,0,0,0.0,-1
smart-calm,19,1200.0,116,67,49,0.955224,0.997501,1.686806,64,2395,2855,2187,668,68,704.56832,0.286526,0.446838,11072,128823,59816,990,603,588,12,54,13,0,4,0.950195,0.233975,9,107,104.356161,0
meshtastic-like,20,1200.0,117,50,67,0.9,0.996954,0.389735,45,3273,4617,4617,0,0,1139.401728,0.3434,0.51619,8447,217786,119401,2923,1791,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,117,50,67,0.34,0.990557,0.537118,17,3252,4028,3338,690,17,994.045952,0.304083,0.327586,7172,190200,84651,1503,0,658,15,9,41,0,0,0.0,0.171301,0,0,0.0,-1
calm-mesh,20,1200.0,117,50,67,0.74,0.994213,1.073979,37,3264,3731,2963,768,39,920.751104,0.278931,0.446902,10129,172690,81074,1880,952,715,14,29,21,41,8,0.956662,0.205843,0,0,0.0,-1
smart-calm,20,1200.0,117,50,67,0.98,0.988121,8.508438,49,3244,3642,3043,599,49,898.787328,0.272939,0.477547,10350,168108,77716,1341,817,539,11,32,18,87,6,0.955783,0.16447,3,90,80.870368,0
